window_id,window_label,strategy,strategy_label,signal_days,buy_days,no_trade_days,selected_stock_exposure_count,avg_selected_stock_count_on_buy_days,avg_ret_h5_close,median_ret_h5_close,h5_close_win_rate,h5_close_loss_rate,avg_d1_open_return,avg_ret_d1_close,avg_d1_1500_return,d1_plus1_touch_rate,d1_plus13_touch_rate,d1_plus2_touch_rate,d1_minus2_touch_rate,d1_plus13_before_minus2_rate,d1_minus2_before_plus13_rate,d1_fast_fail_rate,h5_plus2_touch_rate,h5_minus2_touch_rate,cum_d5_plus13_touch_rate,cum_d5_minus2_touch_rate,cum_d5_plus13_before_minus2_rate,cum_d5_minus2_before_plus13_rate,cum_d5_same_day_ambiguous_rate,avg_h5_mfe_pct,avg_h5_mae_pct,avg_cum_d5_mfe_pct,avg_cum_d5_mae_pct,avg_exit_13_m2_pct,avg_exit_20_m2_pct,exit_13_m2_win_rate,exit_20_m2_win_rate,h5_close_total_return_equity_pct,h5_close_mdd_pct,max_losing_streak_buy_days,hit_best_of_top3_rate,hit_worst_of_top3_rate,recent20_risk_state_days,bad_day_filter_days
ALL,전체,MECHANICAL_TOP1,Bell Watch rank 1 only,275,275,0,275,1.0,3.2387620618175763,1.6891891891891886,59.27272727272728,39.63636363636363,0.48959777498911206,0.2886825218028111,0.3402463337101186,71.63636363636363,64.72727272727272,52.72727272727272,41.45454545454545,54.54545454545454,29.09090909090909,19.272727272727273,79.63636363636364,63.272727272727266,88.0,63.272727272727266,52.72727272727272,24.727272727272727,22.181818181818183,10.286956256065682,-5.343379158282199,10.33388377806591,-5.343379158282199,0.08516099173613756,0.18302400200557367,59.63636363636363,54.18181818181819,85482.62626430226,-67.22712572510518,7,40.72727272727273,24.727272727272727,113,100
ALL,전체,MECHANICAL_TOP2,Bell Watch rank 1-2 equal weight,275,275,0,550,2.0,1.901578787371032,0.9071434184025895,56.00000000000001,44.0,0.4692641185588252,0.3663410415101606,0.358075347534297,73.81818181818181,69.63636363636364,59.09090909090909,48.54545454545455,59.09090909090909,30.727272727272727,20.545454545454543,82.36363636363636,69.45454545454545,88.0,69.45454545454545,47.81818181818182,24.0,28.000000000000004,10.853068813619585,-6.849245859143144,10.87925135117025,-6.852304482762515,0.12526917011565197,0.25601874369724187,50.90909090909091,43.63636363636363,5607.19638425511,-63.928669664391855,11,35.63636363636364,30.545454545454547,113,100
ALL,전체,MECHANICAL_TOP3,Bell Watch top3 equal weight,275,275,0,825,3.0,1.798361258751622,0.9407515937979909,56.00000000000001,44.0,0.5826868562894724,0.4173852045419907,0.40267302456430115,76.24242424242425,72.36363636363636,61.93939393939393,51.39393939393939,61.21212121212122,30.909090909090907,20.0,84.36363636363636,71.75757575757575,89.33333333333334,71.75757575757575,45.93939393939394,22.3030303030303,31.636363636363633,11.653737069772285,-7.267543511421087,11.679289260797965,-7.269582593834,0.15451710314714878,0.3066771677315599,64.0,57.81818181818181,5176.77295257117,-66.00639082269957,9,33.33333333333333,33.33333333333333,113,100
ALL,전체,HUMAN_PROXY_A,Pre-outcome checklist proxy picks one from top3,275,275,0,275,1.0,4.8132060689951,1.5458937198067568,56.72727272727273,41.81818181818181,0.8616012106699521,1.239390206167488,1.2344537026508418,71.63636363636363,67.27272727272727,56.36363636363636,44.72727272727273,59.63636363636363,26.90909090909091,19.636363636363637,82.9090909090909,64.36363636363637,87.63636363636364,64.36363636363637,50.90909090909091,23.272727272727273,25.454545454545453,12.707100376937426,-5.737744304893397,12.754027898937652,-5.737744304893397,0.21693211125660183,0.390760422200498,64.72727272727272,59.27272727272728,2815242.297696637,-66.76123415669204,7,40.0,23.636363636363637,113,100
ALL,전체,HUMAN_PROXY_RISK_OFF,"Human proxy, but no-trade on recent20 risk state",275,162,113,162,1.0,3.7635565991803976,1.0994827378804306,56.17283950617284,42.592592592592595,0.6261475428544988,0.9522354715642967,0.9918253129215959,67.28395061728395,61.111111111111114,51.23456790123457,41.358024691358025,54.32098765432099,26.543209876543212,20.37037037037037,78.39506172839506,61.72839506172839,85.18518518518519,61.72839506172839,53.086419753086425,25.308641975308642,20.98765432098765,10.574848716917897,-5.393209800941401,10.574848716917897,-5.393209800941401,0.13944771907325557,0.3061455840850494,61.111111111111114,56.17283950617284,12014.897704383531,-56.749844728788766,7,38.88888888888889,24.691358024691358,113,100
ALL,전체,NO_TRADE_BAD_DAY_FILTER,"Top3 equal weight, but skips weak/risk days",275,175,100,525,3.0,1.6104281738418078,0.909849651098989,53.714285714285715,46.285714285714285,0.5335184803516548,0.4484507371129452,0.4491227349583942,74.85714285714286,71.04761904761905,59.8095238095238,49.52380952380952,60.57142857142858,30.66666666666667,20.57142857142857,82.85714285714286,70.47619047619048,88.95238095238096,70.47619047619048,47.80952380952382,22.857142857142858,29.14285714285714,10.738157127697725,-6.980878656752996,10.738157127697725,-6.980878656752996,0.14658243151768358,0.29850583915809337,63.42857142857142,58.285714285714285,804.4436448316869,-49.406677589730485,7,33.33333333333333,33.33333333333333,113,100
ALL,전체,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,275,275,0,275,1.0,12.883530364968342,7.565337001375516,86.9090909090909,12.363636363636363,1.004379958425047,2.521339769948837,2.408758293323355,83.63636363636363,80.0,69.45454545454545,42.54545454545455,66.54545454545455,26.545454545454543,13.454545454545455,94.9090909090909,54.54545454545454,98.18181818181819,54.54545454545454,57.45454545454546,13.454545454545455,29.09090909090909,20.243950074994604,-3.649894960960524,20.305859127829248,-3.6498949609605242,0.3234899428896406,0.5464465963629601,69.0909090909091,63.63636363636363,3032756264785916.5,-32.91787453031419,4,100.0,0.0,113,100
ALL,전체,WORST_OF_TOP3_ORACLE,Post-outcome worst of top3; manual error floor reference,275,275,0,275,1.0,-8.330084417087036,-7.383177570093458,16.727272727272727,81.81818181818183,-0.06001917998436162,-1.8446308612828277,-1.7245797064863506,70.9090909090909,68.36363636363636,58.909090909090914,67.63636363636364,53.45454545454545,41.090909090909086,26.545454545454543,75.63636363636364,90.54545454545455,81.0909090909091,90.54545454545455,28.72727272727273,29.454545454545457,41.45454545454545,6.030772469614252,-12.635994621516511,6.036210022715356,-12.642111868755254,-0.1541797831005164,-0.09533765820207363,54.18181818181819,45.81818181818182,-99.9999999989175,-99.99999999858443,25,0.0,100.0,113,100
